file,team_id,player,owner,event,rank,date,pokepaste,species
017_calyrexshadow-zamazenta.txt,I1101,Yoshikazu Sawane,mel_555_dw,AI Off,Runner Up,9 Aug 2025,https://pokepast.es/51ad1070ec3db1b7,Calyrex-Shadow / Zamazenta / Ogerpon-Hearthflame / Incineroar / Rillaboom / Raging Bolt
018_koraidon-miraidon.txt,I917,yojyosyugi,yojyosyugi,Ai Off Team Tour,3rd,5 Jul 2025,https://pokepast.es/46a35a75ac0533ab,Koraidon / Miraidon / Grimmsnarl / Incineroar / Volcarona / Flutter Mane
019_indeedeef-calyrexice.txt,I530,Kreide1119,kreide1119,Battle Stadium S30,794th,31 May 2025,https://pokepast.es/04a3f624dd73d81a,Indeedee-F / Calyrex-Ice / Urshifu-Rapid-Strike / Ursaluna / Crabominable / Necrozma-Dawn-Wings
021_miraidon-koraidon.txt,I554,Fumiaki Suwa,yunuponnu,Battle Stadium S30,11th,1 Jun 2025,https://pokepast.es/141e1aaf46ed344c,Miraidon / Koraidon / Flutter Mane / Volcarona / Grimmsnarl / Incineroar
022_miraidon-solgaleo.txt,I365,tamii,tamii_0745,Battle Stadium S30,-,26 May 2025,https://pokepast.es/19d18ddf670673f3,Miraidon / Solgaleo / Incineroar / Iron Leaves / Urshifu-Rapid-Strike / Ursaluna
023_calyrexice-kyogre.txt,I534,shikabane,shikabane_chann,Battle Stadium S30,218th,1 Jun 2025,https://pokepast.es/1bf3c53a6e44c3f0,Calyrex-Ice / Kyogre / Scraggy / Rillaboom / Amoonguss / Sentret
024_terapagos-zamazenta.txt,I282,Yvar,yvarvgc,Battle Stadium S30,Peak 1st,12 May 2025,https://pokepast.es/2008e94ea7026832,Terapagos / Zamazenta / Incineroar / Rillaboom / Smeargle / Tornadus
025_miraidon-calyrexshadow.txt,I537,pone,poneyatungusuka,Battle Stadium S30,Peak 124th,1 Jun 2025,https://pokepast.es/26fbbf13f10e1b3a,Miraidon / Calyrex-Shadow / Incineroar / Iron Hands / Talonflame / Dragonite
026_dragonite-zamazenta.txt,I548,Yoshikazu Sawane,mel_555_dw,Battle Stadium S30,53rd,1 Jun 2025,https://pokepast.es/2b20db07ad12b3ad,Dragonite / Zamazenta / Calyrex-Shadow / Chien-Pao / Urshifu-Rapid-Strike / Weezing-Galar
027_groudon-hooh.txt,I281,Hijito Kihara,dodoriosiriru,Battle Stadium S30,Peak 91st,16 May 2025,https://pokepast.es/396c031439b62dbc,Groudon / Ho-Oh / Flutter Mane / Iron Hands / Sableye / Infernape
028_zamazenta-calyrexshadow.txt,I550,heavens13poke,heavens13poke,Battle Stadium S30,26th,1 Jun 2025,https://pokepast.es/3eb961c024e125e7,Zamazenta / Calyrex-Shadow / Roaring Moon / Indeedee-F / Rhyperior / Ogerpon-Cornerstone
029_lunala-groudon.txt,I544,yuukari,yuukari_circle,Battle Stadium S30,65th,1 Jun 2025,https://pokepast.es/401dd011a0b64893,Lunala / Groudon / Walking Wake / Raging Bolt / Flutter Mane / Incineroar
030_zamazenta-hooh.txt,I541,Shu Inokuchi,rika_poke_,Battle Stadium S30,83rd,1 Jun 2025,https://pokepast.es/50d6ef36801ece96,Zamazenta / Ho-Oh / Chien-Pao / Dondozo / Raging Bolt / Ting-Lu
031_tatsugiri-calyrexshadow.txt,I557,etsukocccc,etsukocccc,Battle Stadium S30,7th,1 Jun 2025,https://pokepast.es/518000ec9f2795d0,Tatsugiri / Calyrex-Shadow / Tornadus / Dondozo / Miraidon / Chi-Yu
032_lunala-miraidon.txt,I558,Ko Tsukide,huyubare_poke,Battle Stadium S30,4th,1 Jun 2025,https://pokepast.es/51e9b99ef4f9e7be,Lunala / Miraidon / Tornadus / Incineroar / Urshifu-Rapid-Strike / Ursaluna
034_calyrexshadow-zamazenta.txt,I536,CHORI,chori_002,Battle Stadium S30,129th,1 Jun 2025,https://pokepast.es/5ee1e955c4dad2e0,Calyrex-Shadow / Zamazenta / Whimsicott / Chien-Pao / Urshifu-Rapid-Strike / Maushold-Four
035_koraidon-lunala.txt,I526,seventh_sins,seventh_sins,Battle Stadium S30,1110th,3 Jun 2025,https://pokepast.es/63dd0dbeb7d53e06,Koraidon / Lunala / Brute Bonnet / Incineroar / Raging Bolt / Rillaboom
036_calyrexshadow-koraidon.txt,I527,kirawaretenp,kirawaretenp,Battle Stadium S30,862th,1 Jun 2025,https://pokepast.es/6a80a7f1f21bed0f,Calyrex-Shadow / Koraidon / Weezing-Galar / Dondozo / Brute Bonnet / Tatsugiri-Droopy
037_miraidon-terapagos.txt,I547,146_poke,146_poke,Battle Stadium S30,54th & 94th,1 Jun 2025,https://pokepast.es/762e5e75d4f04ff9,Miraidon / Terapagos / Rillaboom / Incineroar / Chien-Pao / Volcarona
038_calyrexice-terapagos.txt,I549,Xinyu Liao,xinyuvgc,Battle Stadium S30,33rd,1 Jun 2025,https://pokepast.es/859e5547f531e8f4,Calyrex-Ice / Terapagos / Smeargle / Ogerpon-Cornerstone / Urshifu-Rapid-Strike / Tornadus
039_ironmoth-miraidon.txt,I546,Ruuto,tbhla7130,Battle Stadium S30,57th,1 Jun 2025,https://pokepast.es/95f217b98fc1665e,Iron Moth / Miraidon / Calyrex-Ice / Incineroar / Whimsicott / Urshifu-Rapid-Strike
040_koraidon-lunala.txt,I552,pad1101,pad1101,Battle Stadium S30,Peak 16th,31 May 2025,https://pokepast.es/973ae6bfa051a211,Koraidon / Lunala / Dragonite / Ursaluna-Bloodmoon / Incineroar / Rillaboom
041_dialga-giratina.txt,I525,Tatsuya Watanuki,1803gi,Battle Stadium S30,-,1 Jun 2025,https://pokepast.es/98c2c848da6e9f50,Dialga / Giratina / Incineroar / Dragonite / Azumarill / Iron Jugulis
042_miraidon-koraidon.txt,I542,moscate1oon,moscate1oon,Battle Stadium S30,73rd,1 Jun 2025,https://pokepast.es/99b85de447aaad46,Miraidon / Koraidon / Volcarona / Grimmsnarl / Incineroar / Walking Wake
043_calyrexshadow-zamazenta.txt,I556,Berumotto,berumotto565651,Battle Stadium S30,8th,3 Jun 2025,https://pokepast.es/a3b75a1c92c4141d,Calyrex-Shadow / Zamazenta / Chien-Pao / Amoonguss / Raging Bolt / Ting-Lu
044_miraidon-lunala.txt,I535,poke_love_cIub,poke_love_ciub,Battle Stadium S30,214th,16 Jun 2025,https://pokepast.es/a95ee5389ee03a5d,Miraidon / Lunala / Rillaboom / Incineroar / Zapdos-Galar / Sinistcha
046_calyrexice-terapagos.txt,I555,spy_anya11,spy_anya11,Battle Stadium S30,10th & 36th,1 Jun 2025,https://pokepast.es/c07b6aa006cd5336,Calyrex-Ice / Terapagos / Incineroar / Rillaboom / Urshifu-Rapid-Strike / Amoonguss
048_calyrexice-fluttermane.txt,I369,takoyaki,8989takoyaki,Battle Stadium S30,-,31 May 2025,https://pokepast.es/ca440e2305bdd9c5,Calyrex-Ice / Flutter Mane / Indeedee-F / Dusclops / Urshifu-Rapid-Strike / Kyogre
049_calyrexshadow-zamazenta.txt,I545,Xena,xenagaming248,Battle Stadium S30,58th,1 Jun 2025,https://pokepast.es/cbd2d3671b1396c4,Calyrex-Shadow / Zamazenta / Ogerpon-Cornerstone / Volcarona / Brute Bonnet / Rillaboom
051_miraidon-calyrexice.txt,I529,petrus_poke,petrus_poke,Battle Stadium S30,809th,1 Jun 2025,https://pokepast.es/d6ecf6159cb1e299,Miraidon / Calyrex-Ice / Chi-Yu / Urshifu-Rapid-Strike / Ursaluna-Bloodmoon / Talonflame
052_miraidon-zamazenta.txt,I532,CHORI,chori_002,Battle Stadium S30,327th,1 Jun 2025,https://pokepast.es/e19ec8340a1752cc,Miraidon / Zamazenta / Whimsicott / Urshifu-Rapid-Strike / Chien-Pao / Flutter Mane
053_whimsicott-miraidon.txt,I553,kyogrepoke,kyogrepoke,Battle Stadium S30,16th & 98th,2 Jun 2025,https://pokepast.es/fa63598382785b3e,Whimsicott / Miraidon / Calyrex-Ice / Urshifu-Rapid-Strike / Incineroar / Volcarona
054_miraidon-groudon.txt,I889,aqril15,aqril15,Battle Stadium S31,90th,1 Jul 2025,https://pokepast.es/051184fcb2eebf79,Miraidon / Groudon / Grimmsnarl / Volcarona / Incineroar / Flutter Mane
